                                varietal                                | count 
 Elvira                                                                 |     3
 Mourvedre                                                              |   105
 Diamond                                                                |    22
 Portugese Red Blend                                                    |     1
 Famoso                                                                 |     1
 Grenache Noir                                                          |     2
 Liebfraumilch                                                          |     2
 Malvasia Bianca                                                        |    12
 Muscat Canelli                                                         |    54
 Pallagrello Nero                                                       |     1
 Albana di Romagna                                                      |     2
 Il Greco                                                               |     1
 Ribolla Gialla                                                         |    27
 Rotberger                                                              |     1
 Picpoul Blanc                                                          |     3
 Shiraz Blend                                                           |     3
 Merlot Cabernet Sauvignon Cabernet Franc                               |     4
 Aleksandrouli Mujuretuli                                               |     1
 Vidal Riesling                                                         |     3
 Jacquere                                                               |     2
 Sparkling Rose 60% Pinot Nero and 40% Chardonnay                       |     1
 Corvino                                                                |     1
 Insolia                                                                |     8
 Pignolo                                                                |     4
 White Wine                                                             |     1
 Rosato Di Palmina                                                      |     1
 Aragonez                                                               |     4
 Vermentino blend                                                       |     1
 Zinfandel Cabernet Sauvignon                                           |     1
 Syrah blend                                                            |     1
 Cabernet Franc Syrah                                                   |     1
 Bordeaux blend                                                         |     2
 Aurore Muscat                                                          |     1
 Malvasia                                                               |    33
 Muscat Ottonel                                                         |     9
 Moscato Blanco                                                         |     1
 Rougeon                                                                |     4
 Verdicchio                                                             |    71
 Nero d’Avola                                                           |     1
 Arinto                                                                 |     6
 Greco                                                                  |    26
 Vidiannó                                                               |     1
 Semillon                                                               |    97
 N/A                                                                    |     2
 Tempranilla                                                            |     1
 Sangiovese Cabernet Sauvignon Merlot                                   |     1
 Muller Thurgau                                                         |    38
 Rose Blend                                                             |    35
 Xarello                                                                |     2
 Northern Carolina Muscadines                                           |     1
 Cococciola                                                             |     8
 Regent                                                                 |     8
 Greco di Tufo                                                          |     1
 Sangiovese Cabernet Sauvignon Blend                                    |     1
 Pinot Noir Pinot Meunier chardonnay                                    |     1
 Carricante                                                             |     8
 Aligoté                                                                |     2
 viognier                                                               |     1
 Sorbara Lambrusco                                                      |     1
 Garnatxa Cabernet                                                      |     2
 Malbec blend                                                           |     1
 Riesling Gewurztraminer                                                |     3
 Vermouth                                                               |     2
 Chardonnel                                                             |     2
 Fruilano                                                               |     1
 Zinfandel Blend                                                        |     3
 Nascetta                                                               |     5
 GSM                                                                    |     1
 Phoenix                                                                |     8
 Aragonez Siria                                                         |     1
 Perelli                                                                |     1
 Vandal Cliché                                                          |     3
 Frontenac Rouge                                                        |     1
 Cabernet Franc Reserve                                                 |     1
 Traminette                                                             |   219
 Malvasia Puntinata                                                     |     1
 Pinot Noir Gamay                                                       |     1
 Mourvedre Syrah Grenache                                               |     1
 Viognier                                                               |   782
 Cabernet Foch                                                          |     1
 Gewutzraminer                                                          |     1
 Gruner Veltliner Riesling Rotgipfler Zierfandler                       |     1
 Ciliegiolo                                                             |     2
 Muscat Giallo                                                          |     3
 Aurora                                                                 |     3
 Kretikos                                                               |     1
 Obeidy                                                                 |     1
 Carignano                                                              |     1
 Lenoir                                                                 |    10
 RoseBlend                                                              |     2
 Riesling Renano                                                        |     1
 Monastrell Tempranillo Cabernet Sauvignon                              |     1
 Proprietary Blend with Almond Essence                                  |     1
 Syrah Grenache Carignan Mourvedre                                      |     1
 Vidal and Vignoles                                                     |     1
 Panonia                                                                |     1
 Vino Tinto                                                             |     1
 Franconia                                                              |     1
 Muscat ottonel                                                         |     4
 Vergennes                                                              |     1
 Tinta Cao                                                              |     2
 White Loin-De-L'oeil                                                   |     1
 Fernao Pires                                                           |     3
 Rhine Riesling                                                         |     1
 Triomphe                                                               |     1
 Caramenere                                                             |     1
 Vespolina                                                              |     1
 Bical                                                                  |     2
 Ferdinand                                                              |     1
 Avgoustiatis Agiorgitiko                                               |     1
 Marsigliana Nera                                                       |     1
 Sangiovese Merlot                                                      |     1
 Glera                                                                  |   195
 St. Croix                                                              |    40
 Vermentino Nero                                                        |     1
 Coastal James                                                          |     1
 Garnacha and Tempranillo                                               |     1
 Cesanese                                                               |     3
 Moscofilero                                                            |     1
 Cabenet Franc                                                          |     1
 Moscato Giallo                                                         |     8
 Geneva Red                                                             |     1
 Tocia Friulano                                                         |     1
 Stueben                                                                |     2
 Chardonnay Pinot Noir                                                  |     3
 Ruche                                                                  |     1
 Bombino Nero                                                           |     2
 Riesling GG                                                            |     1
 Garnacha Rosa                                                          |     1
 Premetta                                                               |     1
 Moschofilero                                                           |     3
 Sauvignon Gris                                                         |     3
 Treixadura                                                             |     1
 Assyrtiko                                                              |     1
 Red Muscat                                                             |     1
 Pinot Noir Précoce                                                     |     7
 Rex Retagliado Bianco                                                  |     1
 Cabernet Sauvignon Malbec                                              |     1
 Seyve Villard                                                          |     1
 Petite Sirah                                                           |   241
 Refosco dal Peduncolo Rosso                                            |     2
 Terrano                                                                |     1
 Proprietary Blend                                                      |    18
 Cuvee Noir                                                             |     1
 Cynthiana                                                              |    15
 Blanc De Bois                                                          |     4
 James Muscadines                                                       |     1
 Landot Noir                                                            |     2
 Blanc duBois                                                           |     4
 Pinot Noir and Pinot Meunier                                           |     1
 Vidal                                                                  |   179
 Rolle Semillon                                                         |     1
 Manzoni Bianco                                                         |     3
 Champagne Blend                                                        |    21
 Chenin Blanc                                                           |   142
 Steuben                                                                |    39
 Tannat                                                                 |    26
 Sangrantino                                                            |     3
 Uve da Tavola                                                          |     1
 Red bouchet                                                            |     1
 Baco Noir                                                              |    30
 Arneis                                                                 |    81
 Grenache Mourvedre Cinsault                                            |     1
 La Crosse                                                              |    21
 Vermentino                                                             |   116
 Durello                                                                |     1
 Colombard                                                              |    10
 Grenache                                                               |   250
 Frappato                                                               |     5
 Madeira                                                                |     1
 Syrah Rose                                                             |     1
                                                                        |  4560
 Rkatsitelli                                                            |     1
 Chardonnay Musque                                                      |     9
 Chardonnay                                                             |     1
 Mauzac                                                                 |     1
 Chasselas                                                              |     2
 Malvasia Nera                                                          |     1
 Muscat Caneli                                                          |     1
 Merlot Cabernet Franc Cabernet Sauvignon                               |     1
 St. Emilion                                                            |     1
 Colombard Ugni Blanc                                                   |     1
 Corvina blend                                                          |     3
 cabernet Sauvignon                                                     |     1
 Prairie Star                                                           |     6
 Lambrusco Sorbara                                                      |     1
 Merlot Cabernet Sauvignon Petit Verdot                                 |     1
 Ste Croix                                                              |     1
 Lancellotta                                                            |     1
 Duoro                                                                  |     1
 Garnaxta Negra                                                         |     1
 Kekfrankos                                                             |     2
 pinot Gris                                                             |     1
 Rosette                                                                |     3
 Graciano                                                               |     4
 Riesling Pinot Grigio                                                  |     1
 Blaufrankisch                                                          |     7
 Rare Rose Blend                                                        |     1
 Chancellor Noir                                                        |     1
 Kokour                                                                 |     1
 Scheurebe                                                              |     3
 Tintilia                                                               |     1
 Silvaner                                                               |     5
 Louise Swenson                                                         |     1
 Chambourcin blend                                                      |     2
 Concord blend                                                          |     3
 Trebbiano                                                              |   104
 Counoise                                                               |     6
 Delaware                                                               |    12
 Tai Bianco                                                             |     1
 Geisenheim 318                                                         |     1
 Gewurztraminer Riesling                                                |     2
 La Cresent                                                             |     1
 Cherry Honey Wine                                                      |     1
 Monepulciano                                                           |     1
 Pinot Rose                                                             |     1
 Toscana                                                                |     1
 Sagrantino                                                             |    20
 Cinsault                                                               |    17
 Viognier Grenache Blanc  Roussanne                                     |     1
 Frontenac gris                                                         |     2
 Moscatel                                                               |     4
 Red  Blend                                                             |     3
 Aligote’                                                               |     2
 White Rhone Blend                                                      |     2
 Pugnitello                                                             |     1
 Verdeca                                                                |     5
 Black Muscat                                                           |     5
 Pecorino                                                               |    49
 Pappilon Red                                                           |     1
(1054 rows)

