                                varietal                                | count 
 Sauvignon Musqué                                                       |     2
 Manzoni Moscato                                                        |     1
 Gobulak                                                                |     1
 Apple                                                                  |     1
 sangiovese                                                             |     1
 GR7                                                                    |     1
 Pecolit                                                                |     1
 Grenache Blanc                                                         |    45
 La Crescent                                                            |    38
 Cabernet Franc                                                         |   598
 Merlot Petite Sirah Cabernet Sauvignon                                 |     1
 Niagara Grapes                                                         |     1
 http://www.bothyvineyard.co.uk/our-varieties.html                      |     2
 Cuvee                                                                  |     1
 Avalon Cabernet Sauvignon                                              |     1
 Dom Riesling                                                           |     1
 Domain                                                                 |     1
 Riesling Gewurztraminer Pinot Blanc                                    |     1
 Tinto de Toro                                                          |     1
 White Garnacha Macabeu Chardonnay                                      |     1
 Grenache Cinsaut Syrah                                                 |     1
 pinot Noir                                                             |     1
 Villard                                                                |     2
 Rhone                                                                  |     1
 chardonnay                                                             |     2
 CAB                                                                    |     1
 Longanesi                                                              |     1
 Magliocco                                                              |     2
 French Colombard                                                       |     1
 Moscatello                                                             |     1
 Cabernet franc                                                         |     4
 Calabrese                                                              |     2
 Castel                                                                 |     1
 Mosato                                                                 |     1
 Moscato Rosa                                                           |     2
 Cava                                                                   |     2
 de Chaunac                                                             |     1
 Verduzzo                                                               |    12
 Proprietary Bordeaux Blend                                             |     1
 Carignan                                                               |    26
 Clairette Blanche                                                      |     1
 Saint-Emilion                                                          |     1
 Rayon d'Or                                                             |     1
 Marechal Marechal Foch                                                 |     1
 Villard Blanc                                                          |     7
 Petite sirah                                                           |     1
 Schonburger                                                            |     4
 Edelweiss                                                              |    51
 Huxelrebe                                                              |     7
 Tinto                                                                  |     3
 cabernet Franc                                                         |     3
 Bogazkere & Carignan                                                   |     1
 Red blend                                                              |    66
 Pinot Blanc                                                            |   181
 Seyval Blend                                                           |     1
 Aurore Blend                                                           |     1
 Cerasuolo                                                              |     1
 Soave Classico                                                         |     1
 Valiant                                                                |     4
 Tempranillo Garnacha                                                   |     1
 Des                                                                    |     1
 Cynthiann                                                              |     1
 Ugni Blanc Colombard                                                   |     1
 Grand Noir                                                             |     1
 Tai Rosso                                                              |     1
 Temperanillo                                                           |     1
 pinot Grigio                                                           |     2
 Melon De Bourgogne                                                     |     7
 Carmenere Merlot Syrah                                                 |     1
 Verdelho                                                               |    26
 Vignole                                                                |     1
 Chisago                                                                |     1
 Sabrevois                                                              |     3
 Prugnolo Gentile                                                       |     4
 Ortega Chardonnay                                                      |     1
 Blush Blend                                                            |     1
 Barbera d'Alba                                                         |     2
 Grecanico                                                              |     5
 Pinotage                                                               |    16
 Brianna                                                                |    28
 Noble Muscadine                                                        |     4
 Chenin blanc                                                           |     1
 Mencía                                                                 |     1
 Zweigelt St. Laurent                                                   |     1
 Agiorgitiko                                                            |     1
 Picpoul Gris                                                           |     1
 Noirette                                                               |     1
 Bluebell                                                               |     1
 Yeast                                                                  |     1
 Rondinella                                                             |     1
 Cabernet Sauvignon  Merlot Malbec Petite Sirah                         |     1
 Carlos                                                                 |    19
 Traminer                                                               |     7
 Cabernet Sauvignon Sangiovese Cabernet Franc                           |     1
 Gamay Cabernet                                                         |     1
 Roussanne/Marsanne                                                     |     1
 Alicante BouSchet                                                      |     1
 Sangiovese blend                                                       |    10
 Vernaccia. Chardonnay                                                  |     1
 Cayuga Blanc                                                           |     1
 Trollinger                                                             |     1
 Siegerrebe                                                             |    27
 Gavi                                                                   |     1
 Dakota                                                                 |     2
 Chablis                                                                |     2
 Cabernet Pfeffer                                                       |     1
 Chardonnay Pinot Noir Pinot Meunier                                    |     3
 Granacha                                                               |     1
 Magnolia                                                               |    11
 Viognier Chardonnay                                                    |     1
 Pinot Noir                                                             |  2323
 Mustang                                                                |     6
 Grenache Carignan Syrah                                                |     1
 Teroldego                                                              |    21
 L'Acadie                                                               |     4
 Pinot Noir Cabernet Franc                                              |     1
 Raboso                                                                 |    10
 Barbarossa                                                             |     1
 Rielsing                                                               |     3
 Shiraz Malbec                                                          |     1
